id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
319,chasem,chasem,harbison_chip,MET31,YPL038W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:56.399258-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/319.csv.gz,319,NA,NA,NA,1
323,chasem,chasem,harbison_chip,DIG1,YPL049C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:59.368722-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/323.csv.gz,323,NA,NA,NA,1
324,chasem,chasem,harbison_chip,GCR1,YPL075W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:00.057770-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/324.csv.gz,324,NA,NA,NA,1
326,chasem,chasem,harbison_chip,RLM1,YPL089C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:01.558525-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/326.csv.gz,326,NA,NA,NA,1
328,chasem,chasem,harbison_chip,UME1,YPL139C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:03.085523-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/328.csv.gz,328,NA,NA,NA,1
329,chasem,chasem,harbison_chip,CUP9,YPL177C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:03.978807-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/329.csv.gz,329,NA,NA,NA,1
332,chasem,chasem,harbison_chip,AFT2,YPL202C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:06.539212-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/332.csv.gz,332,NA,NA,NA,1
333,chasem,chasem,harbison_chip,USV1,YPL230W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:07.243503-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/333.csv.gz,333,NA,NA,NA,1
336,chasem,chasem,harbison_chip,GAL4,YPL248C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:09.706341-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/336.csv.gz,336,NA,NA,NA,1
337,chasem,chasem,harbison_chip,HAA1,YPR008W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:56:10.529984-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/337.csv.gz,337,NA,NA,NA,1
